Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Num_Shares,Num_Trades,Total_Turnover,Deliverable_Quantity,DQ_TQ,Spread_HighLow,Spread_CloseOpen
04-Mar-24,992.95,995.75,980,987.2,987.2573377,655419,25293,647067217,297214,45.35,15.75,-5.75
02-Mar-24,988.9,992.8,981.75,988.4,988.4970582,66457,3354,65692549,44894,67.55,11.05,-0.5
01-Mar-24,957.05,979.9,957.05,977.2,973.7256955,1152398,31399,1122119544,557044,48.34,22.85,20.15
29-Feb-24,959,959,943.1,950.8,952.2110765,236483,8761,225181732,75462,31.91,15.9,-8.2
28-Feb-24,966.75,976.3,950.15,957.75,964.6767926,1122864,32920,1083200842,367641,32.74,26.15,-9
27-Feb-24,937.7,965,935.05,962.75,953.7451406,552128,20036,526589397,182577,33.07,29.95,25.05
26-Feb-24,938.35,944.75,931.9,936.7,939.4871284,210657,6982,197909540,71223,33.81,12.85,-1.65
23-Feb-24,932.9,939.9,929.45,937.15,936.0646142,365771,10289,342385290,74903,20.48,10.45,4.25
22-Feb-24,924.95,933.85,914.45,932.1,923.7638347,406224,15753,375255040,174323,42.91,19.4,7.15
21-Feb-24,926.5,937.2,916.55,921.05,927.4314329,484474,18012,449316416,176268,36.38,20.65,-5.45
20-Feb-24,935.7,935.7,921,926.4,926.6406918,189709,6640,175792079,79984,42.16,14.7,-9.3
19-Feb-24,945.3,945.3,931.05,932.55,934.1419684,446515,19285,417108401,202038,45.25,14.25,-12.75
16-Feb-24,925.95,948.5,925,938.75,940.8553831,566794,14138,533271186,125597,22.16,23.5,12.8
15-Feb-24,924.7,927,916.5,920.2,921.4511666,442218,14291,407482292,188237,42.57,10.5,-4.5
14-Feb-24,900,920,894.15,918.3,907.4796217,524505,18736,475977599,206375,39.35,25.85,18.3
13-Feb-24,911,918.55,894,906.9,907.452748,341848,9226,310210907,106725,31.22,24.55,-4.1
12-Feb-24,917,925,908.15,911.25,916.186628,269070,9373,246518336,94721,35.2,16.85,-5.75
09-Feb-24,927.7,927.7,906.05,914.95,914.7964516,897703,36241,821215519,339556,37.82,21.65,-12.75
